,datetime
212839,2023-04-27 13:11:37
212840,2023-04-27 13:11:39
212841,2023-04-27 13:11:40
212842,2023-04-27 13:11:41
212843,2023-04-27 13:11:42
212844,2023-04-27 13:11:43
212845,2023-04-27 13:11:44
212846,2023-04-27 13:11:45
212847,2023-04-27 13:11:46
212848,2023-04-27 13:11:48
212849,2023-04-27 13:11:49
212850,2023-04-27 13:11:50
212851,2023-04-27 13:11:51
212852,2023-04-27 13:11:52
212853,2023-04-27 13:11:53
212854,2023-04-27 13:11:54
212855,2023-04-27 13:11:55
212856,2023-04-27 13:11:57
212857,2023-04-27 13:11:58
212858,2023-04-27 13:11:59
212859,2023-04-27 13:12:00
212860,2023-04-27 13:12:01
212861,2023-04-27 13:12:02
212862,2023-04-27 13:12:03
212863,2023-04-27 13:12:05
212864,2023-04-27 13:12:06
212865,2023-04-27 13:12:07
212866,2023-04-27 13:12:08
212867,2023-04-27 13:12:09
212868,2023-04-27 13:12:10
212869,2023-04-27 13:12:11
212870,2023-04-27 13:12:12
212871,2023-04-27 13:12:14
212872,2023-04-27 13:12:15
212873,2023-04-27 13:12:16
212874,2023-04-27 13:12:17
212875,2023-04-27 13:12:18
212876,2023-04-27 13:12:19
212877,2023-04-27 13:12:20
212878,2023-04-27 13:12:21
212879,2023-04-27 13:12:23
212880,2023-04-27 13:12:24
212881,2023-04-27 13:12:25
212882,2023-04-27 13:12:26
212883,2023-04-27 13:12:27
212884,2023-04-27 13:12:28
212885,2023-04-27 13:12:29
212886,2023-04-27 13:12:31
212887,2023-04-27 13:12:32
212888,2023-04-27 13:12:33
212889,2023-04-27 13:12:34
212890,2023-04-27 13:12:35
212891,2023-04-27 13:12:36
212892,2023-04-27 13:12:37
212893,2023-04-27 13:12:38
212894,2023-04-27 13:12:40
212895,2023-04-27 13:12:41
212896,2023-04-27 13:12:42
212897,2023-04-27 13:12:43
212898,2023-04-27 13:12:44
212899,2023-04-27 13:12:45
212900,2023-04-27 13:12:46
212901,2023-04-27 13:12:47
212902,2023-04-27 13:12:49
212903,2023-04-27 13:12:50
212904,2023-04-27 13:12:51
212905,2023-04-27 13:12:52
212906,2023-04-27 13:12:53
212907,2023-04-27 13:12:54
212908,2023-04-27 13:12:55
212909,2023-04-27 13:12:57
212910,2023-04-27 13:12:58
212911,2023-04-27 13:12:59
212912,2023-04-27 13:13:00
212913,2023-04-27 13:13:01
212914,2023-04-27 13:13:02
212915,2023-04-27 13:13:03
212916,2023-04-27 13:13:04
212917,2023-04-27 13:13:06
212918,2023-04-27 13:13:07
212919,2023-04-27 13:13:08
212920,2023-04-27 13:13:09
212921,2023-04-27 13:13:10
212922,2023-04-27 13:13:11
212923,2023-04-27 13:13:12
212924,2023-04-27 13:13:14
212925,2023-04-27 13:13:15
212926,2023-04-27 13:13:16
212927,2023-04-27 13:13:17
212928,2023-04-27 13:13:18
212929,2023-04-27 13:13:19
